dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Síntese de antenas para polarizações tridimensionais,"Pereira, Leandro de Paula Santos",2011-03-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8614,,Acesso Aberto,,Telecomunicações||Antenas (Eletrônica),Dissertação
Síntese de filtros de microondas compactos com respostas elípticas e pseudo-elípticas utilizando a variável transformada ZSíntese de filtros de microondas compactos com respostas elípticas e pseudo-elípticas utilizando a variável transformada Z,"Romani, Ivan Ney Alvizuri",2006-10-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6737,,Acesso Aberto,,Filtros elétricos||Telecomunicações,Tese
Síntese e codificação de vistas virtuais para sistemas de ponto de vista livre,"Scandaroli, Thacio Garcia",2012-06-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11290,,Acesso Aberto,,Teoria da codificação||Sistemas multimídia,Dissertação
Slotted ALOHA para redes sem fio com recursos escassos e energizadas via sinais de radiofrequência,"Silva, Cleyson de Vasconcelos",2021-12-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43269,,,Acesso Aberto,Internet das Coisas (IoT)||Slotted ALOHA||Transferência de energia,Dissertação
Socratext : busca aproximada de cadeias em imagens usando matrizes de substituição,"Polastro, Mateus de Castro",2012-12-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11209,,Acesso Aberto,,Informática forense||Ferramenta de busca||Reconhecimento ótico de caracteres||Programação dinâmica||Algoritmos de computador,Dissertação
Software scada como plataforma para a racionalização inteligente de energia elétrica em automação predial,"Urzêda, Claiton Cesar de",2006-10-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3285,,Acesso Aberto,,Ar condicionado||Automação predial||Energia - conservação,Dissertação
Solução de qualidade de serviço fim-a-fim em redes metropolitanas heterogêneas,"Dutra, Leoncio Regal",2008-02-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3797,,Acesso Aberto,,Arquitetura de computador||Redes de computação,Dissertação
Spectrum availability in the VHF and UHF bands for the deployment of second-generation digital terrestrial television systems in Brazil,"Soares, Thiago Aguiar",2022-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/45820,,,Acesso Aberto,Televisão digital||Very High Frequency (VHF)||Ultra High Frequency Band (UHF),Dissertação
Stochastic analysis of the technical and financial impacts and economic feasibility of the integration of Distributed Solar Energy Systems with storage in real feeder,"Togo, Henrique Augusto Gomes",2025-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/53041,,,Acesso Aberto,Sistemas fotovoltaicos||Sistemas de armazenamento à bateria||Análise estocástica dos impactos técnicos e financeiros||Análise estocástica de viabilidade econômica||Fluxo reverso de potência,Dissertação
Study and design of CMOS RF power circuits and modulation capabilities for communication applicationsStudy and design of CMOS RF power circuits and modulation capabilities for communication applications,"Madureira, Heider Marconi Guedes",2015-06-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19186,http://dx.doi.org/10.26512/2015.06.T.19186,Acesso Aberto,,Amplificadores eletrônicos||Rádiofrequência||Circuitos eletrônicos,Tese
Study of a toroidal dielectric lens,"Almeida, Vitor Carvalho de",2022-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/44928,,,Acesso Aberto,Lente de Luneburg||Lente toroidal||Formador de feixe||Banda X,Dissertação
A study on independent component analysis over galois fields,"Rezaee, Sayed Majid",2015-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20421,http://dx.doi.org/10.26512/2015.12.D.20421,Acesso Aberto,,Análise de componentes independentes||Algoritmos||Complexidade computacional,Dissertação
Super-resolução utilizando quadros chave em sequências de vídeo de resolução mista,"Silva, Fernanda Brandi da",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6184,,Acesso Aberto,,Engenharia elétrica||Vídeo digital,Dissertação
Surrogate-assisted optimization using multi-objective evolutionary techniques applied to mechanical structural design,"Passos, João Carlos Pereira",2019-08-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Mecânica (FT ENM),http://repositorio.unb.br/handle/10482/47698,,,Acesso Aberto,Otimização||Modelos substitutos||Projeto mecânico,Dissertação
Synchronization of underactuated chaotic systems with applications to information security,"Gómez, Juan Carlos González",2023-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48382,,,Acesso Aberto,Sistemas caóticos||Sincronização de sistemas||Métodos de Lyapunov,Tese
Tecnlogias para comunicação colaborativa em direção à melhoria da experiência e integração de plataformas,"Florêncio, Alaor Arruda",2009-10-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8230,,Acesso Aberto,,Engenharia elétrica - recursos audiovisuais||Tecnologia de ponta - multimídia interativa||Telecomunicações - equipamento e acessórios,Dissertação
A tecnologia OFDMA e sua aplicação no canal de interatividade intrabanda de sistemas de televisão digital terrestreA tecnologia OFDMA e sua aplicação no canal de interatividade intrabanda de sistemas de televisão digital terrestre,"Reis, André Carlos Guedes de Carvalho",2009-04-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3959,,Acesso Aberto,,Televisão digital||Sistemas de comunicação de microondas||Sistemas de comunicação sem fio,Tese
Tecnologias apropriadas para a implantação de banda larga nas escolas públicas urbanas e suas consequências e impactos sociais,"Oliveira, Daniel da Silva",2011-08-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10037,,Acesso Aberto,,Tecnologia - aspectos sociais||Internet na educação,Dissertação
Telemetria : aplicação de rede de sensores biomédicos sem fio,"Gutiérrez, Eduardo Mamani",2006-08-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2193,http://dx.doi.org/10.26512/2006.08.D.2193,Acesso Aberto,,Redes de sensores||Instrumentação Biomédica||Instrumentos de medição||Sistemas de comunicação sem fio||Medidas eletrônicas,Dissertação
Tensor based machine learning frameworks for intrusion detection in the physical and network layers of cyber-physical systems,"Maranhão, João Paulo Abreu",2021-04-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/41611,,,Acesso Aberto,Aprendizado de máquina||Aprendizado profundo||Processamento de Sinai||Processamento de sinais||Ataques cibernéticos - detecção||Perceptron multicamadas,Tese
"Tensor-based framework with model order selection, denoising and high accuracy matrix decomposition for third generation global positioning system time-delay estimation in dynamic multipath scenarios","Zanatta, Mateus da Rosa",2022-02-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43769,,,Acesso Aberto,Global Navigation Satellite Systems (GNSS)||Global Positioning System (GPS)||Model Order Selection (MOS)||Exponential Fitting Test (EFT),Tese
Técnicas baseadas em grafos para priorização de investigações policiais de fraudes bancárias eletrônicas,"Patrocínio, Álex Moreira do",2016-12-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23335,http://dx.doi.org/10.26512/2016.12.D.23335,Acesso Aberto,,Mineração de dados (Computação)||Internet banking||Fraudes bancárias||Caixa Econômica Federal (CEF)||Algoritmos,Dissertação
Técnicas de agrupamento de textos aplicadas à computação forense,"Nassif, Luís Filipe da Cruz",2011-09-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10718,,Acesso Aberto,,Direito - sistemas hipertexto||Tecnologia da informação||Tecnologia - algoritmos,Dissertação
Técnicas de aprimoramento de acesso a dados e automatização do acompanhamento de alunos para o ambiente virtual de aprendizagem Moodle,"Zacarias, Eliakim",2017-05-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24622,http://dx.doi.org/10.26512/2017.05.D.24622,,Acesso Aberto,Tecnologia educacional||Tecnologia da informação||Disseminação do conhecimento||Moodle||Ensino a distância - ambiente de trabalho,Dissertação
Técnicas de compartilhamento de espectro baseadas em teoria dos jogos para acesso local em sistemas IMT-Advanced,"Costa, Gustavo Wagner Oliveira da",2008-07-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1196,,,Acesso Aberto,Análise espectralCompartilhamento de espectro||Teoria dos jogos||IMT-Advanced,Dissertação
Técnicas de Comunicação Dispositivo a Dispositivo (D2D) em compartilhamento eficiente de espectro com redes de comunicação sem fio,"Amorim, Rafhael Medeiros de",2012-02-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10543,,Acesso Aberto,,Telefonia celular - dispositivos,Dissertação
Técnicas de processamento de impressões digitais para criação de banco de minúcias de alta qualidade.,"Puttini, Mateus Campos",2008,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4123,,Acesso Aberto,,Datiloscopia,Dissertação
Técnicas de recuperação de relógio para sistemas DP-QPSK,"Portela, Thiago Ferreira",2012-11-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13345,,Acesso Aberto,,Comunicações óticas||Algoritmos de computador,Dissertação
Técnicas eficientes de identificação automática de locutoresTécnicas eficientes de identificação automática de locutores,"D’Almeida, Frederico Quadros",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4038,,Acesso Aberto,,Codificador de voz||Sistemas de comunicação de microondas,Tese
Técnicas para redução de singularidades em receptores ópticos dp-qpsk que utilizam o algoritmo do módulo constante,"Rozental, Valery Nobl",2011-08-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9488,,Acesso Aberto,,Dispositivos eletrônicos||Engenharia elétrica||Algoritmos,Dissertação
"The alpha-F composite distribution with pointing errors : characterization, performance and applications","Almeida, Pedro Henrique Dornelas",2024-09-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51755,,,Acesso Aberto,Distribuição Alfa-F||Métricas de performance||Superfícies inteligentes reconfiguráveis||Erros de apontamento||Sistemas de acesso múltiplo não ortogonal,Dissertação
Through-The-Earth (TTE) communication systems : channel characterization and system evaluation,"Peña Carreño, Josua Daniel",2020-12-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40636,,,Acesso Aberto,Comunicação através da terra||Condutividade efetiva||Antenas de baixa frequência||Comunicação subterrânea||Comunicação subaquática,Tese
Time-delay estimation under non-clustered and clustered scenarios for GNSS signals,"Lima, Daniel Valle de",2021-04-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/41900,,,Acesso Aberto,Sistema Global de Posicionamento por Satélite||Tensores||Processamento de sinais||Processamento adaptativo,Tese
A time-domain cross-differential protection algorithm for double circuit transmission lines,"Gama, Letícia Almeida",2023-09-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48383,,,Acesso Aberto,Proteção de distância||Linha de transmissão de circuito duplo,Tese
Transcodificador de vídeo wyner-ziv/h.263 para comunicação entre dispositivos móveis,"Silva, Eduardo Peixoto Fernandes da",2008-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1866,,Acesso Aberto,,Teoria da codificação||Eletrodinâmica,Dissertação
Transformada wavelet aplicada à localização de faltas por ondas viajantes,"Metello, Elzio",2012-11-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12560,,Acesso Aberto,,Ondas viajantes - transmissão||Wavelets (Matemática),Dissertação
Transmission line EMTP models influence on time-domain fault location and protection functions during performance assessment tests,"Ribeiro, Luiza Mendonça Aviani",2021-12-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43192,,,Acesso Aberto,Modelagem de linha de transmissão||Localização de faltas||Proteção no domínio do tempo||Esquemas de transposição||Dependência da frequência dos parâmetros||Heterogeneidade do solo,Dissertação
Um ambiente experimental para análise de ataques de negação de serviço,"Canêdo, Daniel Rosa",2006-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5749,,Acesso Aberto,,Redes de informação - sistemas de segurança||Internet||Segurança da informação,Dissertação
Um ambiente para apoio à integração de redes sem fio heterogêneasUm ambiente para apoio à integração de redes sem fio heterogêneas,"Monteiro, Claudio de Castro",2012-02-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10766,,Acesso Aberto,,Comunicações digitais||Interconexão em rede (Telecomunicações)||Engenharia elétrica,Tese
Um estudo da metodologia de desconto da Receita Anual Permitida (RAP) em função dos atrasos na entrada em operação de empreendimentos de transmissão,"Feitosa Neto, Sandoval de Araújo",2009-12-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7119,,Acesso Aberto,,Energia elétrica - transmissão||Sistemas de energia elétrica,Dissertação
